,title,content
148,Watch Live: Donald Trump’s Defense Team Concludes Its Arguments in the Senate Impeachment Trial,"On Tuesday, the President’s lawyers will wrap up their opening arguments in his defense."
149,The Evidence that Could Save Omar Ameen’s Life,"For the past eight months, the government has failed to disclose crucial information in an Iraqi refugee’s extradition proceedings."
150,Watch Live: Donald Trump’s Impeachment Trial Continues in the Senate,"In the second week of the President’s Senate impeachment trial, his lawyers, including Alan Dershowitz and Kenneth Starr, will mount their defense."
151,Kobe Bryant Was Basketball’s Great Storyteller,"Bryant, who died on Sunday, could seem aware of his own personal mythology. But, as his career progressed, he became more expansive about the narrative power of sports, its ability to transform an inner struggle into an outer one."
152,Watch Live: Trump’s Defense Team Begins Its Arguments in the Impeachment Trial,"On Saturday, Day 5 of the proceedings, Donald Trump’s lawyers have the floor for the first time in the President’s impeachment trial."
153,Watch Live: Day 4 of Donald Trump’s Impeachment Trial in the Senate,"On Friday, the House impeachment managers are expected to finish presenting their arguments for removing the President from office."
154,Watch Live: Day 3 of Donald Trump’s Impeachment Trial in the Senate,Thursday’s proceedings are expected to focus on the constitutional implications of Trump’s dealings with Ukraine.
155,Watch Live: Day 2 of Donald Trump’s Impeachment Trial,"With the rules for the trial set, House managers begin to make the case for removing the President from office."
156,"Tennis Goes On at the Australian Open, Despite the Fires—This Time",The haze of wildfires hanging over the Open this year is a reminder that climate change may force a rethinking of the entire tennis calendar—especially the global travel demanded of players.
157,The Staggering (and Uncovered) Legal Bills Facing Impeachment Witnesses,The State Department will reimburse witnesses for only a fraction—about a quarter—of the charges accrued for a single lawyer. The average case may cost between four hundred thousand and half a million dollars.
158,What C-SPAN Can’t Show Us at the Trump Impeachment Trial,"As of Tuesday, the network’s crews cannot enter the Senate chamber to film the impeachment trial. Mitch McConnell has not replied to a request for them to do so."
159,"Stefanos Tsitsipas, the Percy Shelley of Tennis, Takes Aim at the Australian Open","The twenty-one-year-old plays fearlessly, but it’s his style that compels and holds the promise of greatness."
160,When Will Australia’s Prime Minister Accept the Reality of the Climate Crisis?,"Scott Morrison called this bushfire season, and the changing climate, “the new normal” but has given no indication that he will change his policy stance and transition away from fossil fuels."
161,L.S.U.’s Spectacular National Football Championship,"Louisiana State’s combination of command and creativity in the College Football Playoff National Championship Game was thrilling, even inspiring, to watch."
162,Who Is Jared Kushner?,The Kushner family history—from lying on immigration forms to becoming major Democratic donors—often seems at odds with the initiatives Jared supports in his father-in-law’s Administration.
163,The Saudi Sentences in Jamal Khashoggi’s Murder Case Are a Mockery of Justice,Mohammed bin Salman got off scot-free. But experts say that the trial’s conclusion has not ended the controversy for the Saudi crown prince.
164,How the White House Is Trying—and Failing—to Keep States from Resettling Refugees,"The Trump Administration hoped to turn refugee resettlement into a partisan wedge issue. But, so far, not a single state or locale has said it would end refugee resettlement."
165,How Crystal Mason Became the Face of Voter Suppression in America,"The paradox, as her lawyers have pointed out, is that Mason was charged with voting illegally even though she did not actually vote."
166,Watch Live: The House Votes on Donald Trump’s Impeachment,Watch a live stream of the vote in the House of Representatives on articles of impeachment against the President.
167,Seven Turning Points from the Year in Sports,There were a number of turning points in the sports world in 2019. Some were smoothed into the flow of seasons; others involved the purposeful bending of the normal course of events.
168,The Pure Spirit of Greta Thunberg is the Perfect Antidote to Donald Trump,"She is committed to the foremost emergency of our time, to the science behind it, and to the people who are working every day to try to rapidly change our energy systems and consumption patterns."
169,Why Doesn’t the U.S. Have an Accurate Count of Child-Abuse Deaths?,"Standards for accounting for such deaths vary wildly from state to state, and chances that a uniform definition of maltreatment death will materialize are slim."
170,Watch Live: The House Judiciary Committee Votes on Impeachment,"Democrats outnumber Republicans on the House Judiciary Committee, which is likely to approve two articles of impeachment against Donald Trump, sending them to a vote in the House of Representatives."
171,Watch Live: The House Judiciary Committee’s Impeachment-Inquiry Hearing,"In Monday’s hearing, Democratic and Republican counsels for the House Judiciary and Intelligence Committees testify to the evidence gathered thus far."
172,Andy Ruiz Shocked the Boxing World—Now He’s Trying to Do It Again,"Unlike some boxing spectacles, the rematch between Andy Ruiz and Anthony Joshua, in Saudi Arabia, is also a fascinating athletic contest."
173,How Donald Trump Is Making It Harder to End the War in Ukraine,"As Volodymyr Zelensky and Vladimir Putin plan to meet for peace talks about the conflict in the Donbass region, Trump, fighting his own impeachment battle, has shown no interest in helping."
174,A New Report on Family Separations Shows the Depths of Trump’s Negligence,The Administration failed to make even the most basic preparations to keep track of the families separated by its zero-tolerance policy.
175,Watch Live: The House Judiciary Committee’s Trump-Impeachment-Inquiry Hearing,"In Wednesday’s hearing, scholars of constitutional law testify about what makes an impeachable offense."
176,Giving Thanks for Luka Doncic,No twenty-year-old in history has done what the Dallas Mavericks’ phenom has been doing so far for a full season.
177,"Trump Impeachment Inquiry, Day 5: Watch the Live Stream of the House Intelligence Committee’s Open Hearings","Fiona Hill, the N.S.C. senior director in charge of Ukraine policy, and David Holmes, a career Foreign Service officer, testify on Day 5 of the impeachment-inquiry hearings."
178,Bolivia’s Evo Morales Wants to Stay in the Game,"The country is consumed by a debate over whether President Morales was ousted in a coup, as he and his loyalists allege, or in a democratic uprising against his misrule."
